TransactionTime,Amount,Location,CustomerBehavior,Success,CustomerName,Email,PhoneNumber,PaymentType,AccountNumber,CreditScore
2022-01-07 12:56:40,94246.06,Ethiopia,Normal,True,Wang-Ibarra,david43@example.org,(424)518-3661,Visa,2708131080744901,788
2021-02-07 18:35:27,2911.88,Australia,Normal,True,"Holden, Rogers and Dixon",barnesjoshua@example.net,+1-330-258-5643x347,Visa,213171772372001,814
2020-03-26 23:16:17,53176.21,Wallis and Futuna,Suspicious,True,"Mcbride, Roberts and Davis",amymiles@example.net,(546)983-5156x15118,MasterCard,2710818079949758,756
2021-07-07 15:47:39,86627.23,Timor-Leste,Suspicious,True,Tucker Ltd,zadams@example.com,611-496-7282x14326,BankTransfer,6514960247211676,688
2021-10-29 19:43:40,20661.16,Cocos (Keeling) Islands,Normal,True,Oliver-Hernandez,jonathangraham@example.net,300.222.6539x4198,BankTransfer,30383053894949,663
2023-04-03 17:28:14,98418.1,Gibraltar,Normal,True,Castaneda Group,jessemosley@example.org,360-956-8448x80379,Visa,4695613741088506,703
2022-02-16 09:40:15,28147.56,Iceland,Normal,True,Garcia Ltd,brownlauren@example.org,578-262-3210,Visa,3509445544438291,650
2021-05-19 19:21:11,96608.94,French Guiana,Suspicious,True,Marshall PLC,jacksongary@example.net,946-839-9059x4587,Visa,2251215976336293,793
2020-12-15 08:43:22,4476.25,Moldova,Normal,True,"Cisneros, Jackson and Bolton",cbell@example.org,(934)818-8259x801,Visa,5337340190750052,680
2022-01-10 22:32:39,81455.61,Christmas Island,Normal,True,Miller-Jones,taylornixon@example.com,(313)485-5062,Visa,370295267700696,615
2022-04-04 02:09:38,67473.18,Russian Federation,Suspicious,True,Welch LLC,markgarcia@example.net,(595)569-4263x3646,BankTransfer,2227828637898773,693
2022-09-22 21:43:44,85449.71,Zambia,Normal,True,Crosby-Washington,sean88@example.org,+1-935-385-2673x640,MasterCard,4796630083679459613,667
2022-09-02 02:52:18,97686.65,Tokelau,Normal,True,Patton-Villegas,elizabethjones@example.org,(249)311-4829x646,MasterCard,2277287781369777,731
2023-07-20 11:40:06,41416.85,Libyan Arab Jamahiriya,Suspicious,True,"Wagner, Freeman and Perez",umitchell@example.net,642-886-3817,MasterCard,630495305868,648
2022-05-02 01:47:48,89715.97,Russian Federation,Normal,True,Nelson Ltd,umiller@example.com,(625)519-7791x197,MasterCard,5260560904171136,717
2022-06-11 06:45:49,8480.49,Lithuania,Suspicious,True,Brown Inc,davidcampbell@example.org,337.423.9929x2106,BankTransfer,4717598594104166033,814
2021-06-05 13:40:15,11235.86,Botswana,Normal,True,"Miller, Marquez and Hinton",rebecca63@example.com,301.983.1434x69769,MasterCard,6011487488458434,601
2021-12-03 16:32:37,86898.11,Heard Island and McDonald Islands,Suspicious,True,"Lutz, Wall and Sheppard",april19@example.com,(858)951-3481x5595,Visa,2712686876118069,833
2020-12-17 20:12:53,59748.97,Iran,Normal,True,Watts-Simpson,denise64@example.com,(565)437-6920x54156,MasterCard,4025758375634536679,722
2022-05-23 00:20:54,54773.51,Syrian Arab Republic,Suspicious,True,Mclaughlin-Ford,reesesean@example.net,8028148398,BankTransfer,4320830743735701,639
2020-04-18 11:58:08,6157.13,Saudi Arabia,Suspicious,True,"Garza, Barber and Hall",robertharrell@example.com,(608)581-2390,BankTransfer,4055705613793096239,704
2021-11-04 13:56:45,3924.31,Niue,Normal,True,Griffin PLC,rachel65@example.com,001-942-472-6573x49084,MasterCard,3573251342755865,650
2022-01-30 13:03:00,23992.93,Tuvalu,Suspicious,True,Miller Ltd,justin61@example.com,+1-756-282-0051,Visa,4608718679996449641,694
2020-02-09 21:02:46,77290.25,Greece,Suspicious,True,Oneal Ltd,rhodesgwendolyn@example.com,+1-531-222-2536x068,MasterCard,3509955102046484,839
2022-09-09 18:54:59,36928.36,Uganda,Normal,True,Parker PLC,cbrown@example.net,958-544-5447,Visa,3536414476621511,683
2023-05-30 13:59:07,47676.42,Botswana,Suspicious,True,Mccoy-Nguyen,xstewart@example.org,954.527.9271x913,MasterCard,2280186846141517,667
2023-05-24 10:33:04,85714.4,Papua New Guinea,Normal,True,Reyes LLC,ebrown@example.com,916-825-1281,MasterCard,676245002958,693
2021-06-14 23:51:17,1360.29,Palestinian Territory,Normal,True,Taylor-Jordan,robert00@example.net,407.298.5430,MasterCard,4715826907838087820,797
2022-05-21 04:59:22,89397.21,Lesotho,Suspicious,True,Wright-Griffin,sharonmiller@example.com,+1-339-296-0750x542,MasterCard,349434773344602,806
2020-09-24 02:25:21,6844.6,Maldives,Normal,True,Thomas-Reed,john78@example.net,336-487-0325x37482,BankTransfer,3518670841617037,833
2021-10-31 12:24:51,9643.86,Sri Lanka,Normal,True,West and Sons,seanpratt@example.com,(451)819-9988x8887,Visa,4459296331403802602,826
2022-02-13 21:13:57,98441.0,Papua New Guinea,Normal,True,Zamora-Brandt,suttonmarvin@example.net,+1-609-634-4836,MasterCard,4499983063587,605
2022-03-07 03:47:23,71365.59,Jamaica,Suspicious,True,"Mendoza, Williams and Mendez",johnsonkevin@example.net,001-306-835-3857x199,BankTransfer,30531961283593,691
2023-11-05 14:46:12,87174.39,Saint Barthelemy,Suspicious,True,Fox-Garcia,jennifernelson@example.net,477.737.2224,BankTransfer,343029068763239,833
2022-09-28 16:36:37,50780.77,Albania,Suspicious,True,Allen-Crawford,wyoung@example.org,001-544-990-3105x107,BankTransfer,3570640939429723,744
2022-12-16 11:42:11,15834.64,North Macedonia,Suspicious,True,"Welch, Miller and Ramos",wileysergio@example.com,+1-501-592-6853x987,BankTransfer,4475159919067,845
2023-09-14 16:46:55,68386.41,Niue,Normal,True,Fisher PLC,bflowers@example.net,703-846-7933x1346,BankTransfer,4560704680155,762
2021-10-01 03:06:56,25733.4,Holy See (Vatican City State),Suspicious,True,Phillips-Moore,anthonybaker@example.com,264.438.8102x55867,Visa,4618796488349,833
2022-12-08 18:39:42,98427.93,Tuvalu,Suspicious,True,Thompson-Williams,richardvaldez@example.org,827.640.4104x9209,Visa,4458448248967438681,822
2021-11-24 06:01:05,23548.42,Benin,Normal,True,"Payne, Long and Johnson",xhughes@example.net,(249)545-0788x3597,Visa,6011189859672334,691
2021-12-03 10:11:17,40893.45,Christmas Island,Suspicious,True,Miller-Griffin,jerry77@example.com,(234)951-8893x7223,MasterCard,4458262774659788,614
2020-03-01 04:56:19,58408.86,Kyrgyz Republic,Suspicious,True,Scott-Smith,lwoods@example.net,001-340-859-1387x277,MasterCard,4481140131590980,652
2021-07-31 02:35:11,1813.75,Italy,Suspicious,True,Figueroa Ltd,flynch@example.com,001-237-433-6976,Visa,4480779345333763322,835
2021-07-15 10:51:15,77121.28,Palau,Normal,True,Clark PLC,daniel98@example.com,230-838-6823x511,Visa,3516279596923228,848
2022-03-24 10:35:43,96311.65,South Georgia and the South Sandwich Islands,Suspicious,True,King-Coleman,jjenkins@example.net,586.848.6941x240,MasterCard,341329077932060,602
2023-09-02 02:25:46,34441.36,Zambia,Suspicious,True,Henderson PLC,robertcarroll@example.com,828-328-4869x8981,MasterCard,5173063193973540,779
2020-10-29 15:30:01,85648.63,Jordan,Normal,True,Russell Ltd,johnconley@example.net,+1-284-913-5630x247,MasterCard,379364379689386,847
2021-12-31 09:54:22,84519.44,Armenia,Normal,True,Sullivan-Hutchinson,jenniferflores@example.com,001-681-752-9035x160,BankTransfer,345992751068661,833
2020-07-09 03:46:19,77034.75,Tokelau,Suspicious,True,Barnes-Hicks,james55@example.com,751-291-1521,Visa,4387187476525273565,840
2020-03-14 19:50:23,20481.9,Canada,Normal,True,"Spence, Conway and Figueroa",gcombs@example.net,+1-414-549-3332x67380,MasterCard,4831209291898876,820
2021-08-17 00:18:08,37198.8,Guadeloupe,Suspicious,True,"Meyers, Thomas and Aguilar",krobinson@example.org,001-462-265-2085,Visa,060442626937,764
2024-01-09 17:29:47,91039.22,Netherlands Antilles,Suspicious,True,Soto-Carter,xfoster@example.com,+1-570-356-0098x5383,MasterCard,6011857222155324,718
2021-03-26 13:59:36,27897.8,Andorra,Suspicious,True,Evans-Hardin,ryanjonathan@example.net,001-815-367-5914x79252,Visa,4435092542810530,688
2021-04-23 05:23:58,49973.2,Antarctica (the territory South of 60 deg S),Suspicious,True,"Snyder, Cunningham and Boone",philip61@example.com,487-739-2574,Visa,4833973059030992,667
2020-03-29 18:03:33,31453.05,British Indian Ocean Territory (Chagos Archipelago),Normal,True,"Hicks, Holt and Wolf",lcarr@example.net,+1-846-999-3121x4019,MasterCard,4460592013432910,707
2021-10-28 11:04:02,15845.78,Sao Tome and Principe,Suspicious,True,Brown-Hernandez,atkinsondaniel@example.org,+1-643-571-5662x8357,BankTransfer,4241825970771722,778
2023-08-03 03:19:06,91810.11,Austria,Normal,True,Jordan Ltd,josephdominguez@example.net,+1-966-933-2756x9611,Visa,4004870536197274,779
2022-12-24 10:42:50,72010.14,Pakistan,Suspicious,True,Kline Inc,dennis85@example.com,275-735-4447x0294,MasterCard,6515682916417322,651
2022-10-18 17:50:58,16499.12,Swaziland,Normal,True,"Beasley, Lopez and Nguyen",timothy52@example.net,266.318.1108x7271,BankTransfer,372454689625084,790
2023-06-10 12:39:16,49460.64,Rwanda,Suspicious,True,Leon Ltd,irangel@example.org,863-862-0143,Visa,30224402980288,606
2022-10-29 14:59:28,31157.99,Ethiopia,Normal,True,"Barber, Carey and Jones",lewisterri@example.net,001-762-977-5834,MasterCard,180040704275799,759
2020-03-24 04:35:27,76872.08,Jamaica,Suspicious,True,Edwards-Jones,susan36@example.com,+1-287-966-0027x70989,MasterCard,4762848081159275335,826
2021-09-09 07:34:00,832.93,Myanmar,Suspicious,False,Jones-Costa,youngkelli@example.com,001-334-805-6479x428,Visa,30211434517600,709
2022-12-04 00:02:57,37849.73,Denmark,Normal,True,"King, Munoz and Brown",amber54@example.com,931.236.2674x156,Visa,503884065668,811
2021-12-24 04:11:58,75263.88,Thailand,Suspicious,True,Jensen-Peters,lisapatton@example.org,518.765.3897,Visa,180080224841043,736
2022-04-25 21:36:49,73764.27,Pakistan,Normal,True,"Ballard, Mitchell and Barker",peterdelgado@example.com,(845)206-4205,BankTransfer,38829064511726,794
2023-08-13 07:09:05,50918.95,French Polynesia,Normal,True,Camacho-Huang,sarareed@example.net,270-528-0784x277,Visa,4548022449011969,753
2023-08-31 18:35:58,73181.37,Estonia,Normal,True,"Cooper, Campbell and Davidson",brownlori@example.com,001-251-283-3207x7000,Visa,6011470182170240,820
2023-02-02 09:36:33,69035.65,New Zealand,Normal,True,Prince Group,michelle25@example.net,5432253430,Visa,4938424020240181,731
2022-10-01 11:13:40,94951.76,Burundi,Normal,True,"Gallegos, Bush and Hunt",meaganpaul@example.org,+1-858-867-0765x39663,BankTransfer,2704756542563921,639
2020-04-16 11:24:29,75480.57,Northern Mariana Islands,Suspicious,True,Meza and Sons,vgill@example.net,001-235-995-2225x39097,MasterCard,4583849455602943,761
2023-01-28 02:57:28,75034.4,Tajikistan,Suspicious,True,Campbell-Hebert,brandy62@example.com,686.386.8395,Visa,3546616415882388,670
2023-05-22 19:22:33,17185.81,Togo,Normal,True,Roy-Williams,ubrown@example.org,001-500-841-4257,MasterCard,4636417028773,763
2022-08-04 05:09:56,49161.19,Guinea,Suspicious,True,Ponce-Johnson,ebonymiller@example.com,001-320-939-4183x301,Visa,3553982936332364,651
2022-04-03 02:47:49,66559.57,Saint Pierre and Miquelon,Suspicious,True,"Riley, Coleman and Hatfield",edward95@example.org,(488)746-6492x05854,BankTransfer,180042964683464,721
2020-01-22 21:20:06,908.72,Spain,Suspicious,False,Davis-Baldwin,athornton@example.org,001-481-997-7269,BankTransfer,4252542871754824136,775
2021-09-12 20:32:41,57938.73,Peru,Normal,True,Lamb LLC,hodgesanthony@example.com,622-906-9837,Visa,4800878103026,796
2020-03-11 11:02:51,14371.02,Papua New Guinea,Normal,True,Duncan and Sons,whitney60@example.org,4233709647,BankTransfer,30569514865722,766
2020-04-07 10:47:48,76674.16,Antarctica (the territory South of 60 deg S),Normal,True,Cooper PLC,melissamartin@example.com,+1-389-870-2583,Visa,4860456211959163,741
2021-04-23 06:17:25,39639.01,Cook Islands,Suspicious,True,Matthews LLC,mthompson@example.org,791.801.8319,MasterCard,3574828550933976,680
2020-02-18 20:36:27,53766.05,Hong Kong,Normal,True,"Stevenson, Horton and Gonzalez",rcruz@example.net,+1-870-590-1505x62490,MasterCard,36559615850602,697
2020-05-05 21:35:54,33532.19,Guam,Suspicious,True,Hammond LLC,cherylsanders@example.com,+1-655-968-5212x60466,MasterCard,4110928697347973237,743
2022-12-12 22:20:00,2772.21,Aruba,Normal,True,Garcia-Webster,paguilar@example.org,(424)341-7449,MasterCard,180032175120505,754
2021-08-25 05:28:27,58609.17,Dominican Republic,Suspicious,True,"Anderson, Armstrong and Guerrero",henryjohn@example.net,+1-368-591-8366x462,MasterCard,4022513412403,625
2020-09-16 14:51:01,83005.64,Costa Rica,Normal,True,Rogers PLC,rscott@example.org,001-927-397-0414x389,Visa,3562179459508517,607
2021-02-16 13:32:59,78176.03,Djibouti,Normal,True,Clark Ltd,oparsons@example.net,772.857.7538,Visa,630449145790,838
2020-07-30 09:19:28,79643.48,Afghanistan,Normal,True,Lawrence Inc,adriana94@example.com,648-450-3936x764,Visa,3555185809885793,625
2023-01-21 14:54:27,99601.77,New Zealand,Normal,True,Alvarez Ltd,vramirez@example.com,516-228-6289x60844,MasterCard,180070913079724,758
2022-03-12 09:42:23,14309.4,Bangladesh,Normal,True,Griffin-Watson,lorozco@example.net,3893733474,Visa,2703332760072556,802
2023-01-28 10:17:43,36709.8,Portugal,Suspicious,True,Finley PLC,jill29@example.org,(386)627-7721,Visa,4835738245941143443,833
2020-10-29 20:04:36,32259.94,Christmas Island,Suspicious,True,"King, Allen and Bishop",toddstokes@example.com,303-400-7092x56527,Visa,349317133738813,619
2020-01-22 10:16:50,59553.71,Bangladesh,Normal,True,Alexander PLC,danielharper@example.org,+1-426-730-6895x18128,Visa,578218861552,710
2023-05-30 03:56:39,47001.75,Andorra,Suspicious,True,Brown-Stephens,stevensonkelsey@example.com,878.854.5078x460,Visa,180044493563076,682
2023-11-08 02:01:27,384.84,Chad,Normal,False,Allen-Miller,kerrkatherine@example.net,758.837.4020x601,BankTransfer,36875107593728,583
2021-10-15 09:03:40,41259.09,Faroe Islands,Normal,True,"Davis, Taylor and Nelson",veronica01@example.net,428-333-8151x6368,Visa,213154535289787,674
2023-02-15 15:17:15,85185.36,Italy,Normal,True,Smith PLC,qmurphy@example.com,235-234-3001,Visa,6506982619077337,798
2023-07-23 00:28:29,32252.39,Sierra Leone,Suspicious,True,Sanchez LLC,sweeneydenise@example.org,(993)294-9598x74172,MasterCard,30572853439455,742
2023-04-28 17:43:46,89838.33,Cyprus,Normal,True,"Bryant, Scott and Hall",harperkelly@example.com,259-698-0952x4678,MasterCard,4925444631777244,731
2022-11-19 14:37:10,13304.3,Morocco,Normal,True,"Rojas, Hicks and Wilkins",holmeschad@example.net,001-225-901-7734,Visa,4058573276352829,698
2023-11-23 17:42:14,4191.21,Puerto Rico,Suspicious,True,"Greene, Elliott and Martin",angie41@example.com,744-320-1373x33573,BankTransfer,213181695259656,631
2023-06-01 00:16:40,65512.65,Niue,Normal,True,Parsons Ltd,deborahadkins@example.net,+1-602-240-7036x2150,Visa,213144267651403,720
2022-08-18 16:56:23,49133.05,Ecuador,Normal,True,"Clark, Cortez and Davis",harrisalison@example.net,668-937-6567,Visa,4688195995700225,675
2022-11-14 14:03:29,62712.17,United States Minor Outlying Islands,Suspicious,True,Cooper-Delacruz,christopher37@example.org,272-420-2476x569,MasterCard,3583243822326885,619
2022-07-25 16:17:51,5383.54,Bahamas,Suspicious,True,"Baldwin, Davidson and Ellis",szuniga@example.org,752.721.4721x376,MasterCard,503897221779,762
2023-05-01 04:43:13,50812.83,Seychelles,Suspicious,True,Trevino Inc,deanna07@example.com,812-274-1365x62062,BankTransfer,180001702809690,818
2022-10-24 16:19:33,84279.68,Austria,Suspicious,True,Harris and Sons,parrishalan@example.org,407.250.7570x4247,MasterCard,6011518818184470,756
2021-04-03 10:43:12,78400.87,Svalbard & Jan Mayen Islands,Suspicious,True,Turner-Briggs,hgarrison@example.com,486.623.0894x358,Visa,376737591327138,839
2023-04-04 00:08:05,26965.0,Niger,Suspicious,True,Harrison-Ramsey,jeanette44@example.com,+1-940-616-4969x57866,MasterCard,30152202206846,637
2023-01-14 02:05:04,86357.48,Uganda,Normal,True,Brown Group,roberthanson@example.org,(433)853-4458x0529,MasterCard,4529263071914072464,694
2023-03-03 22:20:54,69940.53,Macao,Suspicious,True,Melendez-Gonzales,amontgomery@example.net,001-661-704-4489x249,Visa,3550506089237063,653
2020-11-24 03:26:51,81361.14,Turkmenistan,Normal,True,"Montgomery, Dunn and Crosby",lindsey09@example.org,(326)516-1864x457,MasterCard,6587228895301518,782
2020-01-25 09:19:54,375.25,Guinea,Normal,False,"Hunter, Carter and Cline",jessica05@example.com,(787)665-2809,BankTransfer,2257114702371233,653
2023-03-08 21:45:06,20657.87,Sri Lanka,Normal,True,Brooks-Stewart,daniellewalker@example.net,2645425359,BankTransfer,4300275247461011160,626
2021-04-25 09:07:49,14049.07,Ecuador,Suspicious,True,Ellis-Ball,josephcook@example.net,(499)693-3227,BankTransfer,373471610107486,749
2021-06-19 23:04:58,498.68,Guinea,Normal,False,Williams and Sons,garrisonbrandi@example.org,629.525.6728,MasterCard,6011421249063589,695
2022-05-31 05:49:05,92430.79,Chad,Suspicious,True,Howe-Smith,novakelizabeth@example.net,001-554-274-0722x99453,MasterCard,4258867999664041,778
2022-04-10 06:12:24,85908.19,Bhutan,Normal,True,Parks PLC,michelerandall@example.org,001-392-702-3851x330,BankTransfer,4270070866711755,638
2022-12-06 04:46:11,570.5,Panama,Normal,False,Kelly and Sons,hessdavid@example.com,568-984-3511,Visa,6011360996564201,743
